Wall time,Step,Value
1706182268.6966434,2000,982.0
1706182280.1025846,4000,672.478271484375
1706182292.2460968,6000,713.9666748046875
1706182304.0157568,8000,707.6087036132812
1706182315.471425,10000,638.171875
1706182327.0755758,12000,569.0
1706182338.469435,14000,530.719970703125
1706182350.1771853,16000,481.2900085449219
1706182361.8729954,18000,420.0899963378906
1706182373.5926452,20000,391.30999755859375
1706182384.922016,22000,406.79998779296875
1706182396.8734035,24000,377.42999267578125
1706182408.2478063,26000,371.8599853515625
1706182420.0378404,28000,384.9700012207031
1706182431.2332144,30000,379.7799987792969
1706182443.0061028,32000,394.760009765625
1706182454.6634185,34000,402.8500061035156
1706182465.5234234,36000,422.69000244140625
1706182476.9549563,38000,469.30999755859375
1706182488.9003115,40000,483.75
1706182500.6848686,42000,505.70001220703125
1706182512.281598,44000,549.8900146484375
1706182523.677494,46000,622.2000122070312
1706182534.9039443,48000,673.6500244140625
1706182546.3226724,50000,716.9199829101562
1706182557.4317486,52000,771.510009765625
1706182569.2021713,54000,840.2899780273438
1706182580.5139196,56000,900.0399780273438
1706182592.309132,58000,958.9000244140625
1706182604.8435147,60000,993.2000122070312
1706182615.678095,62000,1030.1199951171875
1706182626.6234276,64000,1063.5899658203125
1706182637.9372816,66000,1094.4100341796875
1706182649.695903,68000,1148.989990234375
1706182661.058215,70000,1146.56005859375
1706182671.2380452,72000,1109.56005859375
1706182681.3916776,74000,1002.4600219726562
1706182691.2551677,76000,915.4199829101562
1706182702.0617838,78000,855.7899780273438
1706182712.9290583,80000,767.1500244140625
1706182724.3886523,82000,749.010009765625
1706182736.191718,84000,754.9500122070312
1706182747.86185,86000,717.02001953125
1706182758.5739768,88000,715.3300170898438
1706182769.034422,90000,714.489990234375
1706182780.6947129,92000,726.8400268554688
1706182792.048339,94000,728.8099975585938
1706182802.7705102,96000,772.8900146484375
1706182814.478864,98000,730.239990234375
1706182825.9738646,100000,595.1799926757812
